RA	DE	NormHalpha	RVHalpha	SigmHalpha	Norm[NII]6548	RV[NII]6548	Sigm[NII]6548	Norm[NII]6584	RV[NII]6584	Sigm[NII]6584	Norm[SII]6717	RV[SII]6717	Sigm[SII]6717	Norm[SII]6731	RV[SII]6731	Sigm[SII]6731
93.87	19.6	1159	-290.4823136	18.24212863	101.1	-295.9461649	16.45317739	303.4	-271.602535	16.31669842	225.1	-249.7076307	16.48173147	177.8	-275.8745577	16.41410219
92.529	19.6	884.4	-286.3710684	17.39249665	64.1	-290.6352498	17.699223	192.3	-266.3198566	17.55957823	197.5	-246.0919142	14.19173701	138.4	-272.2668988	14.12421316
91.188	19.6	670.9	-284.9549729	15.87875273	59.63	-291.9171949	13.26927518	178.9	-267.5949859	13.13791722	152.9	-246.4936605	12.73821003	99.52	-272.7122888	12.6698169
89.847	19.6	468.8	-281.8030182	19.22533471	35.85	-287.8882248	21.42311157	107.5	-263.5874367	21.2715999	115.5	-244.0385444	17.11912009	75.73	-270.2181049	17.05122292
88.506	19.6	543.9	-277.0979265	16.94762671	39.49	-282.6230935	21.75875283	118.5	-258.3502986	21.60603783	111.5	-238.1462656	19.4802633	77.59	-264.3389571	19.41071511
87.165	19.6	423.2	-278.4683416	15.6334954	27.34	-284.3170922	20.90590088	82.03	-260.0352909	20.75620689	94.66	-238.4140965	15.11753741	60.67	-264.6061911	15.05015388
85.824	19.6	245.7	-282.3968648	14.26177158	21.11	-287.293036	19.2180342	63.34	-262.9954124	19.07392185	65.66	-244.3510137	11.27516983	42.53	-270.5298779	11.20482623
84.483	19.6	160	-283.4931968	12.69163875	9.737	-289.2159536	19.49445361	29.21	-264.9081063	19.34946752	36.27	-246.7614914	17.0938285	24.41	-272.9349838	17.02594361
83.142	19.6	118.3	-285.6401804	14.08903725	9.474	-293.1075724	12.18779768	28.42	-268.7790345	12.05676538	29.64	-242.6547516	22.60935884	19.63	-268.8373959	22.53645862
81.801	19.6	145.2	-288.6550936	19.44935121	10.7	-291.3677899	15.39681184	32.1	-267.0485019	15.26257611	29.6	-252.5198547	19.16743453	18.21	-278.6805146	19.09815631
80.46	19.6	174.5	-290.0255086	16.70994856	12.94	-285.095416	25.3360026	38.81	-260.8094765	25.1695038	48.64	-245.1545063	14.35734838	26.75	-271.3315799	14.28987057
77.778	19.6	969.9	-282.6709478	14.31909697	66.91	-285.3243348	14.0282056	200.7	-261.0371782	13.8961164	177.1	-238.9943967	12.50166124	122	-265.185198	12.43303582
76.437	19.6	1621	-277.874495	12.66094487	117.5	-279.2808797	13.55938475	352.5	-255.0258545	13.42779123	367.1	-234.3519952	8.538966155	250.8	-260.5531422	8.460141134
75.096	19.6	1483	-271.2508222	12.66094487	119.7	-273.6036946	13.76862172	359.1	-249.3788534	13.63682389	343.3	-226.7634544	9.464958257	240.7	-252.9815124	9.389955161
73.755	19.6	589.1	-269.9717681	13.05658664	53.02	-272.230182	14.46480796	159.1	-248.0126435	14.33214005	193.6	-227.566947	10.85815222	137.9	-253.7832144	10.78699393
72.414	19.6	177.9	-269.4692826	13.59311924	19.3	-270.9940208	15.71897389	57.91	-246.7830545	15.58410232	60.21	-226.3170697	13.1461411	50.14	-252.5361224	13.07808403
71.073	19.6	63.77	-263.0283318	10.89310578	8.968	-277.0832596	17.58072107	26.91	-252.8399186	17.44139856	17.33	-236.2268112	5.788587825	21.8	-262.4683191	5.687110983
64.368	19.6	24.4	-264.4444274	15.16489679	5.656	-271.4518583	34.61855052	16.97	-247.2384578	34.41123104	22.51	-244.6188446	19.02239409	10.74	-270.7971119	18.95323627
50.958	19.6	658.6	-286.0513049	5.352992113	45.12	-286.0568748	5.436992745	135.4	-261.7658235	5.257935906	74.32	-242.7440286	7.094278677	53.62	-268.9264739	7.006381704
148.851	17.3	24.78	-271.6162662	18.62278926	3.501	-263.5770531	51.70781941	10.5	-239.4055209	51.41733196	17.79	-250.2432924	6.348030789	5.703	-276.4090257	6.2532191
142.146	17.3	73.17	-276.412719	10.48224197	6.431	-284.0423897	61.00423316	19.29	-259.7620489	60.66669269	11.61	-224.2636998	39.35040975	9.644	-250.4873285	39.24978535
140.805	17.3	91.59	-294.0910733	25.09017981	5.316	-264.1264582	67.75561726	15.95	-239.9520049	67.38349685	22.25	-243.1457749	22.76879236	4.783	-269.3273249	22.69569466
139.464	17.3	131.3	-298.7961651	27.14499292	11.68	-298.6474062	23.77013147	35.03	-274.2894146	23.6098606	26.46	-247.7435378	22.33523136	20.3	-273.9148418	22.26266542
138.123	17.3	235.4	-303.0901323	23.15111615	15.5	-302.0811875	24.72941446	46.5	-277.7049394	24.56535982	33.45	-253.769732	28.21802278	15.4	-279.9276066	28.1371021
136.782	17.3	329.7	-297.1973475	21.97307951	21.99	-297.777515	23.24347599	65.97	-273.4241483	23.08523614	51.75	-244.3510137	17.5466343	46.52	-270.5298779	17.47851041
135.441	17.3	469.4	-294.3194758	20.8462007	42.18	-292.5123836	13.13644078	126.5	-268.1870102	13.00517129	81.34	-248.1452841	14.41232882	53.03	-274.3156928	14.34486418
134.1	17.3	698.4	-293.5429073	19.20038068	49.99	-294.3437337	18.84766344	150	-270.0086234	18.70469433	114.8	-248.4131149	18.94971368	71.93	-274.5829268	18.88061502
132.759	17.3	903.8	-288.8834961	15.08144041	67.31	-291.2304386	12.13250248	201.9	-266.9118809	12.00146064	142.8	-245.1545063	10.46361943	89.07	-271.3315799	10.39156152
